Name,Population,Class,Township,Seat
Adair,25314,3,,Kirksville
Andrew,18135,3,,Savannah
Atchison,5305,3,,Rock Port
Audrain,24962,3,,Mexico
Barry,34534,3,,Cassville
Barton,11637,3,Yes,Lamar
Bates,16042,3,Yes,Butler
Benton,19394,3,,Warsaw
Bollinger,10567,3,,Marble Hill
Boone,183610,1,,Columbia
Buchanan,84793,1,,St. Joseph
Butler,42130,3,,Poplar Bluff
Caldwell,8815,3,Yes,Kingston
Callaway,44283,2,,Fulton
Camden,42745,1,,Camdenton
Cape Girardeau,81710,1,,Jackson
Carroll,8495,3,Yes,Carrollton
Carter,5202,3,,Van Buren
Cass,107824,1,,Harrisonville
Cedar,14188,3,,Stockton
Chariton,7408,3,Yes,Keytesville
Christian,88842,1,,Ozark
Clark,6634,3,,Kahoka
Clay,253335,Charter,,Liberty
Clinton,21184,3,,Plattsburg
Cole,77279,1,,Jefferson City
Cooper,17103,3,,Boonville
Crawford,23056,3,,Steelville
Dade,7569,3,,Greenfield
Dallas,17071,3,,Buffalo
Daviess,8430,3,Yes,Gallatin
DeKalb,11029,3,Yes,Maysville
Dent,14421,3,,Salem
Douglas,11578,3,,Ava
Dunklin,28283,3,Yes,Kennett
Franklin,104682,1,,Union
Gasconade,14794,3,,Hermann
Gentry,6162,3,Yes,Albany
Greene,298915,1,,Springfield
Grundy,9808,3,Yes,Trenton
Harrison,8157,3,Yes,Bethany
Henry,21946,3,Yes,Clinton
Hickory,8279,3,,Hermitage
Holt,4223,3,,Oregon
Howard,10151,3,,Fayette
Howell,39750,3,,West Plains
Iron,9537,3,,Ironton
Jackson,717204,Charter,,Independence
Jasper,122761,1,,Carthage
Jefferson,226739,Charter,,Hillsboro
Johnson,54013,4,,Warrensburg
Knox,3744,3,,Edina
Laclede,36039,3,,Lebanon
Lafayette,32984,4,,Lexington
Lawrence,38001,3,,Mt. Vernon
Lewis,10032,3,,Monticello
Lincoln,59574,2,,Troy
Linn,11874,3,Yes,Linneus
Livingston,14557,3,Yes,Chillicothe
McDonald,23303,3,,Pineville
Macon,15209,3,,Macon
Madison,12626,3,,Fredericktown
Maries,8432,3,,Vienna
Marion,28525,3,,Palmyra
Mercer,3538,3,Yes,Princeton
Miller,24722,3,,Tuscumbia
Mississippi,12577,3,,Charleston
Moniteau,15473,3,,California
Monroe,8666,3,,Paris
Montgomery,11322,3,,Montgomery City
Morgan,21006,3,,Versailles
New Madrid,16434,3,,New Madrid
Newton,58648,2,,Neosho
Nodaway,21241,3,Yes,Maryville
Oregon,8635,3,,Alton
Osage,13274,3,,Linn
Ozark,8553,3,,Gainesville
Pemiscot,15661,3,,Caruthersville
Perry,18956,3,,Perryville
Pettis,42980,4,,Sedalia
Phelps,44638,3,,Rolla
Pike,17587,3,,Bowling Green
Platte,106718,1,,Platte City
Polk,31519,3,,Bolivar
Pulaski,53955,3,,Waynesville
Putnam,4681,3,Yes,Unionville
Ralls,10355,3,,New London
Randolph,24716,3,,Huntsville
Ray,23158,3,,Richmond
Reynolds,6096,3,,Centerville
Ripley,10679,3,,Doniphan
St. Charles,405262,Charter,,St. Charles
St. Clair,9284,3,,Osceola
Ste. Genevieve,18479,1,,Farmington
St. Francois,66922,3,,Ste. Genevieve
St. Louis,1004125,Charter,,Clayton
Saline,23333,4,,Marshall
Schuyler,4032,3,,Lancaster
Scotland,4716,3,,Memphis
Scott,38059,3,,Benton
Shannon,7031,3,,Eminence
Shelby,6103,3,,Shelbyville
Stoddard,28672,3,Yes,Bloomfield
Stone,31076,3,,Galena
Sullivan,5999,3,,Milan
Taney,56066,1,,Forsyth
Texas,24487,3,Yes,Houston
Vernon,19707,3,Yes,Nevada
Warren,35532,3,,Warrenton
Washington,23514,3,,Potosi
Wayne,10974,3,,Greenville
Webster,39085,3,,Marshfield
Worth,1973,3,,Grant City
Wright,18188,3,,Hartville
St. Louis City,301578,,,
